"","Type","TFC","TPC","AA_frap","TEAC"
"2","Honey","1.64","2.72","11.82","23.04"
"3","Honey","1.73","2.77","11.96","21.16"
"4","Honey","1.82","2.66","10.06","22.50"
"5","Sahroon","0.96","4.83","21.08","35.82"
"6","Sahroon","0.98","4.85","18.44","35.52"
"7","Sahroon","1.63","4.73","18.87","31.88"
"8","Bam","1.64","2.23","11.04","19.43"
"9","Bam","1.77","2.36","9.66","19.43"
"10","Bam","1.96","2.10","10.02","18.00"
"11","Jiroft","0.85","1.61","7.87","25.03"
"12","Jiroft","0.89","1.62","6.96","11.82"
"13","Jiroft","1.04","1.57","7.31","13.48"
"14","Piarom","3.03","4.56","22.40","43.41"
"15","Piarom","3.29","4.39","21.67","34.60"
"16","Piarom","3.90","4.27","19.56","37.64"
"17","Kabkab","1.01","2.22","8.52","34.85"
"18","Kabkab","1.01","2.34","7.51","24.01"
"19","Kabkab","1.25","2.00","7.47","22.26"
"20","Zahedi","3.58","3.20","14.63","44.23"
"21","Zahedi","4.71","3.32","13.82","36.55"
"22","Zahedi","3.36","3.18","13.96","25.80"
"23","Kharak","55.98","117.18","329.45","404.14"
"24","Kharak","72.31","123.87","328.66","397.57"
"25","Kharak","79.58","118.21","326.30","594.71"
