"","Group","pH","TSS","L.","a.","b.","WHC40","WHC60","WHC80","OHC40","OHC60","OHC80","Viscosity","Texture"
"1","Gpe",4.64,1.83,45.16,5.28,21.01,5.15,5.21,5.7,0.78,0.68,1.1,60.07,32.7
"2","Gpe",4.32,1.73,43.1,6.03,23.02,5.16,4.87,5.97,0.78,0.77,1.06,46.9,34.16
"3","Gpe",4.6,1.77,44.72,6.42,23.38,5.03,5.14,5.65,0.79,0.75,1.17,55.7,33.88
"4","Gpe",4.59,1.57,37.82,5.89,21.35,5.15,4.95,6.16,0.76,0.75,1.02,49.97,37.06
"5","Gpe",4.55,1.53,38.64,5.67,24.3,5.2,5.37,6.5,0.74,0.78,0.95,58.83,37.26
"6","Gpe",4.33,1.67,39.85,5.36,23.73,4.99,5.53,6,0.8,0.77,1.02,57.53,38.02
"7","Gpe",4.3,1.6,37.04,5.52,22.88,4.58,5.36,6.21,0.69,0.76,1.05,57.7,38.89
"8","Gpe",5.08,1.7,36.35,4.94,21.81,5.2,5.85,5.97,0.75,0.8,1.01,46.73,39.2
"9","Gpe",5.31,1.8,48.73,3.79,26.58,4.34,5.53,5.15,0.73,0.71,1.03,55.03,38.8
"10","Gpe",5.33,1.8,38.42,4.38,22.66,4.97,4.81,5.71,0.85,0.75,1.02,54.53,36.9
"11","Gpe",5.24,1.83,45.93,4.26,27.07,4.14,5.27,5.88,0.76,0.78,0.96,52.97,39.68
"12","Gpe",5.26,1.9,34.83,4.89,21.45,5.03,4.82,5.64,0.72,0.78,0.97,54.87,40.91
"13","Rpe",4.86,3.3,32.43,5.26,11.16,5.39,6.43,6.65,0.94,0.94,1.3,66.9,54.19
"14","Rpe",5.31,3.2,35.61,4.77,13.1,6.1,6.56,8.1,1.06,0.98,1.33,73.47,43.99
"15","Rpe",5.32,3.6,35.25,5.29,11.55,5.55,6.34,8.19,0.97,1.04,1.28,77.23,35.94
"16","Rpe",5.31,3.53,32.5,5.52,11.02,6.19,6.64,8.1,0.97,0.92,1.07,79.5,55.17
"17","Rpe",5.45,3.23,39.85,5.53,12.57,6.34,6.58,8.48,0.9,1.01,1.24,80.2,42.62
"18","Rpe",5.69,3.47,40.31,5.55,13.07,6.21,6.72,9.26,1.01,0.96,1.39,83.9,42.62
"19","Rpe",5.61,3.53,38.14,5.74,12.49,6.21,6.47,9.26,0.89,0.92,1.26,76.27,45.43
"20","Rpe",5.65,3.57,39.29,5.98,12.79,6.16,6.23,8.29,1,0.97,1.3,79.4,47.5
"21","Rpe",5.65,3.47,36.68,5.72,12.08,5.94,6.47,8.31,0.78,1,1.21,82.9,59.92
"22","Rpe",5.68,3.5,41.08,5.32,12.97,6.17,5.9,7.92,0.96,0.98,1.37,78.3,63.24
"23","Rpe",5.58,3.53,39.95,5.57,12.81,6.55,6.2,7.84,0.9,1.02,1.29,66.8,57.61
"24","Rpe",5.47,3.63,40.37,6.34,14.01,6.34,5.59,7.88,0.81,1.05,1.31,72.73,59.93
"25","Gpu",4.49,1.07,70.97,3.15,15.57,3.83,5.56,6.07,0.91,0.54,0.87,35.07,0.54
"26","Gpu",4.37,1.17,71.7,3.41,15.22,3.72,5.52,6.03,0.91,0.57,0.83,37,0.63
"27","Gpu",4.75,1.2,68.23,3.67,15.09,4.07,5.37,6.15,0.87,0.54,0.86,40.13,0.66
"28","Gpu",5.64,1.03,64.37,3.53,14.69,4.01,5.52,6.24,0.81,0.59,0.84,38.6,0.72
"29","Gpu",4.73,1.17,74.1,2.83,15.34,4.03,5.6,6.35,0.84,0.42,0.97,42.27,0.72
"30","Gpu",4.59,1.13,79.25,2.49,17.69,4.08,5.78,6.53,0.77,0.47,0.85,39.13,0.7
"31","Gpu",4.54,1.23,79.15,2.54,17.46,3.93,5.8,6.43,0.79,0.53,0.88,38.73,0.71
"32","Gpu",5.37,1.23,78.7,1.57,16.77,3.89,5.61,6.21,0.89,0.42,0.87,40.2,0.81
"33","Gpu",5.58,1.27,74.78,1.86,19.54,3.93,5.58,6.43,0.71,0.43,0.71,42.53,0.7
"34","Gpu",5.65,1.37,76.62,1.68,19.29,3.74,5.79,6.43,0.73,0.45,0.79,44.67,0.68
"35","Gpu",5.53,1.3,77.08,1.66,20.04,4.02,5.74,6.46,0.71,0.45,0.85,47.47,0.58
"36","Gpu",5.47,1.43,75.19,1.99,21.69,3.97,5.99,6.44,0.64,0.64,0.81,45.53,0.63
"37","Rpu",5.6,4.33,74.39,2.52,11.51,1.53,1.61,4.86,0.81,0.82,1.15,84.13,2.36
"38","Rpu",5.57,4.03,72,2.88,11.85,1.5,1.74,4.04,0.82,0.84,1.03,85.17,2.49
"39","Rpu",4.76,3.77,67.38,5.07,20.23,1.52,1.81,4.98,0.77,0.81,1.13,91.67,2.46
"40","Rpu",5.56,4.1,70,3.13,12.07,1.69,1.76,5.03,0.79,0.83,1.15,87.4,2.72
"41","Rpu",4.95,3.97,68.14,4.1,16.71,1.42,1.77,4.04,0.8,0.83,0.99,87.23,2.39
"42","Rpu",4.84,4.4,69.82,3.67,16.11,1.28,1.56,5.01,0.69,0.87,0.94,87.33,2.39
"43","Rpu",5.07,4.5,70.82,2.7,12.4,1.25,1.68,5.01,0.79,0.85,1.05,86.9,2.23
"44","Rpu",4.94,4.43,72.2,2.67,12.96,1.08,1.68,4.84,0.87,0.78,1,90,2.29
"45","Rpu",5.04,4.3,67.12,3.87,15.93,1.54,1.88,4.83,0.79,0.83,1.11,86.97,2.08
"46","Rpu",4.93,4.57,72.69,2.59,13.31,1.18,1.58,3.99,0.7,0.73,0.95,89.73,2.2
"47","Rpu",5.05,4.3,70.82,3,13.71,1.26,1.78,4.77,0.8,0.83,1.07,90.27,1.97
"48","Rpu",5.21,4.4,74.86,2.42,12.97,1.24,1.63,4.59,0.83,0.8,1.04,87.7,2.3
