"","Location","Cr","As","Cd","Zn","Cu","Pb","Hg"
"1","Juru","0.20","2.38","0.82","0.23","0.20","0.13","1.40"
"2","Juru","0.17","2.94","0.86","0.23","0.16","0.13","1.45"
"3","Juru","0.15","2.53","0.88","0.21","0.24","0.11","1.31"
"4","Juru","0.15","2.61","0.92","0.29","0.20","0.13","1.19"
"5","Juru","0.15","2.89","0.92","0.23","0.21","0.14","1.46"
"6","Juru","0.17","2.58","0.89","0.21","0.20","0.12","1.41"
"7","Juru","0.18","2.83","0.88","0.21","0.20","0.12","1.30"
"8","Juru","0.18","2.61","0.89","0.20","0.18","0.11","1.28"
"9","Juru","0.16","2.64","0.90","0.24","0.18","0.12","1.27"
"10","Juru","0.18","2.66","0.89","0.21","0.20","0.12","1.33"
"11","Juru","0.18","2.73","0.90","0.19","0.18","0.13","1.33"
"12","Juru","0.16","2.57","0.89","0.18","0.17","0.12","1.42"
"13","Juru","0.16","2.61","0.84","0.22","0.17","0.12","1.28"
"14","Juru","0.17","2.86","0.86","0.25","0.17","0.12","1.27"
"15","Juru","0.16","2.60","0.88","0.20","0.18","0.11","1.24"
"16","Juru","0.17","2.83","0.91","0.19","0.19","0.12","1.42"
"17","Juru","0.16","2.83","0.91","0.23","0.17","0.12","1.31"
"18","Juru","0.17","2.62","0.88","0.23","0.16","0.13","1.36"
"19","Juru","0.14","2.42","0.90","0.20","0.17","0.11","1.36"
"20","Juru","0.18","2.69","0.92","0.19","0.17","0.12","1.24"
"21","Jejawi","0.17","2.61","0.85","0.20","0.17","0.12","1.36"
"22","Jejawi","0.16","2.90","0.88","0.18","0.21","0.13","1.44"
"23","Jejawi","0.15","2.57","0.89","0.22","0.22","0.12","1.41"
"24","Jejawi","0.16","2.70","0.84","0.19","0.19","0.14","1.28"
"25","Jejawi","0.15","2.77","0.88","0.17","0.20","0.12","1.35"
"26","Jejawi","0.19","2.61","0.84","0.19","0.15","0.12","1.41"
"27","Jejawi","0.18","2.69","0.88","0.20","0.18","0.11","1.44"
"28","Jejawi","0.17","2.75","0.88","0.18","0.23","0.12","1.41"
"29","Jejawi","0.17","2.65","0.88","0.22","0.19","0.12","1.36"
"30","Jejawi","0.17","2.60","0.82","0.22","0.19","0.12","1.44"
"31","Jejawi","0.16","2.70","0.93","0.20","0.20","0.12","1.25"
"32","Jejawi","0.16","2.43","0.88","0.20","0.19","0.12","1.44"
"33","Jejawi","0.16","2.69","0.93","0.18","0.20","0.12","1.40"
"34","Jejawi","0.18","2.82","0.89","0.19","0.18","0.12","1.23"
"35","Jejawi","0.15","2.60","0.84","0.20","0.20","0.14","1.29"
"36","Jejawi","0.18","2.88","0.86","0.19","0.17","0.12","1.21"
"37","Jejawi","0.15","2.90","0.89","0.18","0.17","0.12","1.36"
"38","Jejawi","0.17","2.89","0.87","0.20","0.17","0.13","1.32"
"39","Jejawi","0.18","2.45","0.79","0.24","0.15","0.14","1.50"
"40","Jejawi","0.15","2.61","0.85","0.18","0.19","0.11","1.32"
